SampleID	Cruise	depth	lat	long	temperature	salinity	knorr_cruise_id	station_id	time	cocco_rel_conc	diat_rel_conc	diaz_rel_conc	mixo_rel_conc	pico_eu_rel_conc	pico_pro_rel_conc	brown algae 	cocco	diat	diaz	land plants	mixo	nanoplankton	phaeocystis	pico_eu	picopro	red_algae	unclassified
S0106	GA03	69.4	27.583	-49.6329	23.437	37.025002	KN204	14	2011-11-26T15:01:00	0.310924828052521	0.00104222423397	0.155237257480621	0.099704898893833	0.186317339539528	0.24677349627018	0	0.035412929526716	0.005677030327815	0	0	0.1869659731562	0.006152246231337	0.044716326266779	0.062360034924979	0.651687936163191	0.003001095722599	0.004026427680386
S0107	GA03	99	27.583	-49.6329	21.882	37.042	KN204	14	2011-11-26T15:01:00	0.427171319723129	0.061704687774181	0.05406342074275	0.215507417917252	0.113277330994606	0.128275811672211	0	0.020847723988752	0.002693246639698	0	0	0.148734562105269	0.017655727971335	0.011371485812048	0.005585993030475	0.789620014808375	0	0.003491245644048
S0108	GA03	113.8	27.583	-49.6329	21.166	36.948002	KN204	14	2011-11-26T15:01:00	0.423321068286896	0.132009103894234	0.038101553916931	0.248129844665527	0.081039011478424	0.077399484813213	0	0.032240690277363	0.00492851316342	0	0	0.363410601479741	0.006982060314839	0.058320739100442	0.084185214787132	0.447057214865072	0	0.002874966011992
S0109	GA03	133.7	27.583	-49.6329	20.306	36.831001	KN204	14	2011-11-26T15:01:00	0.422660827636719	0.155756190419197	0.03013057820499	0.307969450950623	0.047195851802826	0.036287128925324	0	0.01877917719465	0.000866731255138	0	0	0.292738200313744	0.006933850041107	0.088406588024061	0.134897455702937	0.429609792129962	0	0.027768205338402
S0110	GA03	183.8	27.583	-49.6329	18.911	36.675999	KN204	14	2011-11-26T15:01:00	0.308358907699585	0.089503958821297	0.024387735873461	0.573478937149048	0.003629574785009	0.000640847312752	0	0.094621931389881	0.0553884476429	0	0	0.270527115166661	0.064811513118747	0.101545487345342	0.042695261724681	0.370410243611788	0	0
S0112	GA03	285	27.583	-49.6329	17.668	36.491001	KN204	14	2011-11-26T15:01:00	0.068442471325398	0.024426424875856	0.007494702935219	0.898536086082459	0.000562664936297	0.000537617306691	0	0	0	0	0	0	0	0	0	0	0	0
S0090	GA03	39.7	26.1363	-44.82642	25.137	37.395	KN204	16	2011-11-30T03:40:00	0.01419600378722	0.000625355169177	0.275209158658981	0.000213624181924	0.221639633178711	0.488116294145584	0	0.025409141287612	0.00250954481853	0	0	0.413237052117399	0.038584251584899	0.029173458515406	0.00909709996717	0.469755420718655	0	0.012234030990332
S0091	GA03	60.7	26.1363	-44.82642	25.14	37.394001	KN204	16	2011-11-30T03:40:00	0.049401000142098	0.000355625816155	0.292832463979721	0.002333451528102	0.240638121962547	0.414439290761948	0	0.009762046183844	0.00547266225458	0	0	0.287074808998447	0.042598019711294	0.039935643479329	0.012868151787781	0.59252662140088	0	0.009762046183845
S0092	GA03	89.9	26.1363	-44.82642	23.157	37.231998	KN204	16	2011-11-30T03:40:00	0.160340994596481	0.00029634515522	0.24776616692543	0.029917899519205	0.227118939161301	0.334559679031372	0	0.022563089943622	0.001335972430873	0	0	0.242785632825214	0.021040096370245	0.007570510441606	0.013525986154579	0.683424119081739	0	0.007754592752122
S0093	GA03	110.7	26.1363	-44.82642	21.995	37.106998	KN204	16	2011-11-30T03:40:00	0.439188927412033	0.020403195172548	0.078131385147572	0.178840890526772	0.129758521914482	0.153677061200142	0	0.030579368436771	0.003057936843681	0	0	0.131536013336173	0.020953599324991	0.046451516815866	0.066862795960095	0.700558769282425	0	0
